Name EN,Name ZH
Jammes (Japan),骰子方块
Janyuuki - Gokuu Randa (Japan),雀游记-悟空乱打
JB The Super Bass (Japan),JB联盟巴斯钓鱼
Jelly Boy (Europe),杰利小子
Jeopardy! (USA),电视大问答
Jeopardy! - Deluxe Edition (USA),电视大问答-高级版
Jeopardy! - Sports Edition (USA),电视大问答-运动版
Jerry Boy (Japan),史莱姆大进击
"Jetsons, The - Invasion of the Planet Pirates (USA)",摩登家族
Jigsaw Party (Japan),拼图对决
Jikkyou Oshaberi Parodius (Japan),实况疯狂大射击
Jikkyou Power Pro Wrestling '96 - Max Voltage (Japan),实况力量职业摔跤'96-极限电压
Jikkyou Powerful Pro Yakyuu - Basic Ban '98 (Japan),实况野球'98
Jikkyou Powerful Pro Yakyuu '94 (Japan),实况野球'94
Jikkyou Powerful Pro Yakyuu '96 - Kaimaku Ban (Japan),实况野球'96
Jikkyou Powerful Pro Yakyuu '96 - Kaimaku Ban (Japan) (Rev 1),实况野球'96
Jikkyou Powerful Pro Yakyuu 2 (Japan),实况野球2
Jikkyou Powerful Pro Yakyuu 2 (Japan) (Rev 1),实况野球2
Jikkyou Powerful Pro Yakyuu 3 (Japan),实况野球3
Jikkyou Powerful Pro Yakyuu 3 - '97 Haru (Japan),实况野球'97
Jikkyou Powerful Pro Yakyuu 3 - '97 Haru (Japan) (Rev 1),实况野球'97
Jikkyou World Soccer - Perfect Eleven (Japan),实况世界足球
Jikkyou World Soccer - Perfect Eleven (Japan) (Rev 1),实况世界足球
Jikkyou World Soccer 2 - Fighting Eleven (Japan),实况世界足球2
Jim Lee's WildC.A.T.S - Covert-Action-Teams (USA),吉姆·李的野外隐秘行动队
Jim Power - The Lost Dimension in 3D (USA),吉姆大展神威
Jimmy Connors Pro Tennis Tour (Europe),吉米可诺专业网球
Jimmy Connors Pro Tennis Tour (France),吉米可诺专业网球
Jimmy Connors Pro Tennis Tour (Germany),吉米可诺专业网球
Jimmy Connors Pro Tennis Tour (Japan),吉米可诺专业网球
Jimmy Connors Pro Tennis Tour (USA),吉米可诺专业网球
Jimmy Houston's Bass Tournament U.S.A. (USA),实战巴斯钓鱼必胜法
Jissen Bass Fishing Hisshouhou in USA (Japan),美国真实鲈鱼钓鱼必胜法
Jissen Kyoutei (Japan),实战竞艇
Jissen Pachi-Slot Hisshouhou! Twin (Japan),实战777必胜法
Jissen Pachi-Slot Hisshouhou! Twin Vol. 2 (Japan),实战777必胜法2
Jissen Pachinko Hisshouhou! 2 (Japan),真实柏青哥必胜法2
Jissen! Mahjong Shinan (Japan),真实麻将指南
Jissen! Pachi-Slot Hisshouhou! (Japan),真实老虎机必胜法
Jissen! Pachi-Slot Hisshouhou! 2 (Japan),真实老虎机必胜法2
Jissen! Pachi-Slot Hisshouhou! Classic (Japan),实战777无敌必胜法
Jissen! Pachi-Slot Hisshouhou! Yamasa Densetsu (Japan),777必胜法-山佐传说
Joe & Mac (USA),战斗原始人
"Joe & Mac - Caveman Ninja (Europe) (En,Fr,De,Es,It,Nl)",乔与麦克-史前忍者
Joe & Mac - Tatakae Genshijin (Japan),乔与麦克-战斗原始人
Joe & Mac 2 - Lost in the Tropics (USA),战斗原始人2
"Joe & Mac 3 - Lost in the Tropics (Europe) (En,Fr,De)",战斗原始人2-多国语言
John Madden Football (USA),约翰麦顿橄榄球
John Madden Football '93 (Europe),约翰麦顿橄榄球'93
John Madden Football '93 (USA),约翰麦顿橄榄球'93
John Madden Football '93 (USA) (Rev 1),约翰麦顿橄榄球'93
JoJo no Kimyou na Bouken (Japan),乔乔的奇妙冒险
Joushou Mahjong Tenpai (Japan),超级麻将天和
JRA PAT (Japan) (TJAJ),日本赛马协会PAT
JRA PAT (Japan) (TJBJ),日本赛马协会PAT
JRA PAT - Wide Taiouban (Japan) (TJDJ),日本赛马协会PAT-广角大赛
JRA PAT - Wide Taiouban (Japan) (TJEJ),日本赛马协会PAT-广角大赛
Judge Dredd (Europe),超时空战警
Judge Dredd (Japan) (En),超时空战警
Judge Dredd (USA),超时空战警
Jumbo Ozaki no Hole in One (Japan),尾崎高尔夫
Jumpin' Derby (Japan),德贝赛马王
"Jungle Book, The (Europe)",丛林王子
"Jungle Book, The (Japan) (En)",丛林王子
"Jungle Book, The (USA)",丛林王子
Jungle no Ouja Tar-chan - Sekaimanyuu Daikakutou no Maki (Japan),秀逗泰山-阿达
Jungle Strike (Europe),丛林激战直昇机
Jungle Strike (USA),丛林激战直昇机
Jungle Strike - Uketsugareta Kyouki (Japan),丛林突击-觉醒的愤怒
Jungle Wars 2 - Kodai Mahou Atimos no Nazo (Japan),丛林大战2
Jurassic Park (Europe),侏罗纪公园
Jurassic Park (France),侏罗纪公园
Jurassic Park (Germany),侏罗纪公园
Jurassic Park (Italy),侏罗纪公园
Jurassic Park (Japan),侏罗纪公园
Jurassic Park (Spain),侏罗纪公园
Jurassic Park (USA),侏罗纪公园
Jurassic Park (USA) (Rev 1),侏罗纪公园
"Jurassic Park Part 2 - The Chaos Continues (Europe) (En,Fr,De,It)",侏罗纪公园2
"Jurassic Park Part 2 - The Chaos Continues (USA) (En,Fr,De,It)",侏罗纪公园2
Justice League Task Force (Europe),正义超人大对决
Justice League Task Force (Japan) (En),正义超人大对决
Justice League Task Force (USA),正义超人大对决
Jutei Senki (Japan),树帝战记
JWP Joshi Pro Wres - Pure Wrestle Queens (Japan),JWP女子职业摔跤-纯女子摔跤皇后
K.H. Rummenigge's Player Manager (Germany),KH足球经纪人
Ka-blooey (USA),爆破精灵
Kabuki Chou Reach Mahjong Tonpuusen (Japan),歌舞伎町麻将名人殿堂
Kabuki Rocks (Japan),歌舞妓洛克斯
Kachiuma Yosou Soft - Baken Renkinjutsu (Japan),嘉岛游想软-爆炎炼金术
Kachou Shima Kousaku (Japan),嘉翔岛构想
Kagakusha Harley no Haran Banjou (Japan) (En),哈利巨人屋探险
Kaite Tsukutte Asoberu Dezaemon (Japan),描绘卫门
Kakinoki Shougi (Japan),柿木将棋
Kamaitachi no Yoru (Japan),恐怖惊魂夜
Kamen Rider (Japan),假面骑士
Kamen Rider SD - Shutsugeki!! Rider Machine (Japan),SD假面骑士
Karura Ou (Japan),迦楼罗王
Kashiwagi Shigetaka no Top Water Bassing (Japan),顶尖钓客
Kat's Run - Zen-Nihon K-Car Senshuken (Japan),车神大赛
Katou Hifumi Kudan - Shougi Club (Japan),加藤一二三九段-将棋教室
Kawa no Nushi Tsuri 2 (Japan),钓鱼太郎2
Kawasaki Caribbean Challenge (USA),川崎竞速挑战
Kawasaki Superbike Challenge (Europe),川崎超级机车赛
Kawasaki Superbike Challenge (USA),川崎超级机车赛
Keeper (Japan),奇波方块
Keiba Eight Special (Japan),马券购入术
Keiba Eight Special (Japan) (Rev 1),马券购入术
Keiba Eight Special 2 (Japan),马券购入术2
Ken Griffey Jr. Presents Major League Baseball (USA),小葛瑞非棒球
Ken Griffey Jr.'s Winning Run (USA),小葛瑞非热战全场
Kendo Rage (USA),狂暴剑道
Kentou Ou World Champion (Japan),拳斗王
Kenyuu Densetsu Yaiba (Japan),剑勇传说
Kero Kero Keroppi no Bouken Nikki - Nemureru Mori no Keroleen (Japan),大眼蛙的冒险日记
Kessen! Dokapon Oukoku IV - Densetsu no Yuusha-tachi (Japan),多卡波王国4
Kevin Keegan's Player Manager (Europe),凯文的足球经纪人
Kick Off (Europe),劲射入网
"Kick Off 3 - European Challenge (Europe) (En,Fr,De,Es,It)",欧洲足球挑战赛3
Kid Klown in Crazy Chase (Europe),小丑王子大冒险
Kid Klown in Crazy Chase (USA),小丑王子大冒险
Kid Klown no Crazy Chase (Japan),凯伦的疯狂追逐
Kidou Butouden G Gundam (Japan),机动武斗传G
Kidou Keisatsu Patlabor (Japan),机动警察
Kidou Senshi Gundam - Cross Dimension 0079 (Japan),机动战士高达-交错维度0079
Kidou Senshi Gundam F91 - Formula Senki 0122 (Japan),机动战士高达F91
Kidou Senshi V Gundam (Japan),机动战士高达V
Kidou Senshi Z Gundam - Away to the Newtype (Japan),机动战士Z高达-新人类之路
Kidou Soukou Dion (Japan) (En),超钢战机-机动装甲
Kijin Kourinden Oni (Japan),鬼神降临传
Kiki Kaikai - Nazo no Kuro Manteau (Japan),奇奇怪界
Kiki Kaikai - Tsukiyo Soushi (Japan),奇奇怪界3
Kikou Keisatsu Metal Jack (Japan),机动警察杰克
Kikuni Masahiko no Jantoushi Doraou (Japan),喜国雅彦的雀斗士-铜锣王
Kikuni Masahiko no Jantoushi Doraou 2 (Japan),喜国雅彦的雀斗士-铜锣王2
Killer Instinct (Europe),杀手輓歌
Killer Instinct (USA),杀手輓歌
Killer Instinct (USA) (Rev 1),杀手輓歌
Kindai Mahjong Special (Japan),近代麻雀
King Arthur & The Knights of Justice (USA),亚瑟潘卓刚传说
King Arthur's World (Europe),亚瑟王的世界
King Arthur's World (USA),亚瑟王的世界
King of Dragons (Europe),龙王战士
King of Dragons (USA),龙王战士
"King of Dragons, The (Japan)",龙王
"King of Rally, The - Paris-Moscow-Beijing (Japan)",越野赛车王
King of the Monsters (Europe),万兽之王
King of the Monsters (Japan),万兽之王
King of the Monsters (USA),万兽之王
King of the Monsters 2 (USA),万兽之王2
King of the Monsters 2 - Next Thing (Japan),万兽之王2-下一个目标
Kingyo Chuuihou! - Tobidase! Game Gakuen (Japan),金鱼学园
Kinnikuman - Dirty Challenger (Japan),筋肉人-肮脏的挑战者
Kirby Bowl (Japan),卡比滚球
Kirby no Kirakira Kids (Japan),卡比方块
Kirby Super Star (USA),卡比超级之星
Kirby's Avalanche (USA),卡比魔法气泡
Kirby's Dream Course (Europe),卡比滚球
Kirby's Dream Course (USA),卡比滚球
Kirby's Dream Land 3 (USA),卡比梦幻岛3
Kirby's Fun Pak (Europe),卡比超级之星
Kirby's Ghost Trap (Europe),卡比魔法气泡
Kishin Douji Zenki - Battle Raiden (Japan),鬼神童子-烈斗雷传
Kishin Douji Zenki - Denei Raibu (Japan),鬼神童子-电影雷舞
Kishin Douji Zenki - Tenchi Meidou (Japan),鬼神童子-天地鸣动
Kiteretsu Daihyakka - Choujikuu Sugoroku (Japan),奇天烈大百科大富翁
Knights of the Round (Europe),圆桌武士
Knights of the Round (Japan),圆桌武士
Knights of the Round (USA),圆桌武士
Konpeki no Kantai (Japan),绀碧之舰队
Kouryaku Casino Bar (Japan),赌城大攻略
Kouryuu Densetsu Villgust - Kieta Shoujo (Japan),甲龙传说
Kouryuu no Mimi (Japan),黄龙之耳
Kouryuuki (Japan),项刘记
Koushien 2 (Japan),甲子园2
Koushien 3 (Japan),甲子园3
Koushien 4 (Japan),甲子园4
Kousoku Shikou Shougi Ou (Japan),将棋皇
Koutetsu no Kishi (Japan),钢铁之骑士1
Koutetsu no Kishi 2 - Sabaku no Rommel Gundan (Japan),钢铁之骑士2
Koutetsu no Kishi 3 - Gekitotsu Europe Sensen (Japan),钢铁之骑士3
Krusty World (Japan),小丑世界
Krusty's Super Fun House (Europe),小丑的超级游乐园
Krusty's Super Fun House (Europe) (Rev 1),小丑的超级游乐园
Krusty's Super Fun House (USA),小丑的超级游乐园
Krusty's Super Fun House (USA) (Rev 1),小丑的超级游乐园
Kunio no Oden (Japan),热血食物方块
Kunio-kun no Dodge Ball Da yo Zenin Shuugou! (Japan),热血硬派-国夫君的躲避球大会
Kunio-kun no Dodge Ball Da yo Zenin Shuugou! - Tournament Special (Japan),热血硬派-国夫君的躲避球大会-锦标赛特别版
Kuusou Kagaku Sekai Gulliver Boy (Japan),空想科学世界
Kyle Petty's No Fear Racing (USA),凯勒劲爆赛车
Kyuuyaku Megami Tensei (Japan),旧约女神转生
La Wares (Japan),真-圣刻
Lady Stalker - Kako kara no Chousen (Japan),秘境魔宝美少女篇
Lagoon (Europe),礁湖传说
Lagoon (Germany),礁湖传说
Lagoon (Japan),礁湖传说
Lagoon (USA),礁湖传说
Lamborghini American Challenge (Europe),兰博基尼-美国挑战
Lamborghini American Challenge (USA),兰博基尼-美国挑战
"Langrisser, Der (Japan)",梦幻模拟战
"Langrisser, Der (Japan) (Rev 1)",梦幻模拟战
Laplace no Ma (Japan),拉普拉斯之魔
Larry Nixon's Super Bass Fishing (Japan),赖瑞超级黑巴斯钓鱼
Larry Nixon's Super Bass Fishing (Japan) (Rev 1),赖瑞超级黑巴斯钓鱼
Las Vegas Dream in Golden Paradise (Japan),拉斯维加斯之梦
Last Action Hero (Europe),最后魔鬼英雄
Last Action Hero (USA),最后魔鬼英雄
"Last Battle, The (Japan)",最后决战
Last Bible III (Japan),最后的圣经3
"Lawnmower Man, The (Europe)",剪草人
"Lawnmower Man, The (USA)",剪草人
Leading Company (Japan),株式会社经营
Leading Jockey (Japan),马场大亨
Leading Jockey 2 (Japan),马场大亨2
Legend (Europe),传说战士
Legend (USA),传说战士
"Legend of the Mystical Ninja, The (Europe)",大盗伍佑卫门
"Legend of the Mystical Ninja, The (Germany)",大盗伍佑卫门
"Legend of the Mystical Ninja, The (USA)",大盗伍佑卫门
"Legend of Zelda, The - A Link to the Past (Canada) (Fr)",塞尔达传说-众灵的三角力量
"Legend of Zelda, The - A Link to the Past (Europe)",塞尔达传说-众灵的三角力量
"Legend of Zelda, The - A Link to the Past (France)",塞尔达传说-众灵的三角力量
"Legend of Zelda, The - A Link to the Past (Germany)",塞尔达传说-众灵的三角力量
"Legend of Zelda, The - A Link to the Past (USA)",塞尔达传说-众灵的三角力量
Lemmings (Europe),旅鼠总动员
Lemmings (Japan) (En),旅鼠总动员
Lemmings (USA),旅鼠总动员
Lemmings (USA) (Rev 1),旅鼠总动员
Lemmings 2 - The Tribes (Europe),旅鼠总动员2
Lemmings 2 - The Tribes (Japan),旅鼠总动员2
Lemmings 2 - The Tribes (USA),旅鼠总动员2
Lennus - Kodai Kikai no Kioku (Japan),魔星谜踪
Lennus II - Fuuin no Shito (Japan),魔星谜踪2
Lester the Unlikely (USA),惊异之旅
Lethal Enforcers (Europe),致命杀手
Lethal Enforcers (Japan),致命杀手
Lethal Enforcers (USA),致命杀手
Lethal Weapon (Europe),致命武器
Lethal Weapon (USA),致命武器
Libble Rabble (Japan) (En),超级连一连
Liberty or Death (USA),独立战争
Light Fantasy (Japan),光之传说
Light Fantasy II (Japan),光之传说2
"Lion King, The (Europe)",狮子王
"Lion King, The (Japan)",狮子王
"Lion King, The (USA)",狮子王
Little Magic (Japan),小小魔法师
Little Master - Nijiiro no Maseki (Japan),魔兽大战-虹色之魔石
Live A Live (Japan),时空勇士
Lock On (USA),锁定目标
Lode Runner Twin - Justy to Liberty no Daibouken (Japan),掏金大冒险
Lodoss-tou Senki (Japan),罗德斯岛战记
Logos Panic Goaisatsu (Japan),拼字方块
Looney Tunes B-Ball (USA),迪士尼卡通明星篮球
Looney Tunes Basketball (Europe),迪士尼卡通明星篮球
Lord Monarch (Japan),领土统治战
Lord of Darkness (USA),黑暗领主
Lost Vikings 2 (USA),太空维京人2
"Lost Vikings II, The - Norse by Norsewest (Europe) (En,Fr,De)",失落维京人II-北欧向西
"Lost Vikings, The (Europe)",太空维京人
"Lost Vikings, The (France) (En,Fr)",太空维京人
"Lost Vikings, The (Germany)",太空维京人
"Lost Vikings, The (Spain)",太空维京人
"Lost Vikings, The (USA)",太空维京人
Lothar Matthaeus Super Soccer (Germany),马拉度那超级足球
Love Quest (Japan),恋爱日记
"Lucky Luke (Europe) (En,Fr,De,Es)",幸运路克-西部大枪战
Lufia (Europe),四狂神战记
Lufia (Germany),四狂神战记
Lufia (Netherlands),四狂神战记
Lufia (Spain),四狂神战记
Lufia & the Fortress of Doom (USA),四狂神战记
Lufia II - Rise of the Sinistrals (USA),四狂神战记2
Lupin Sansei - Densetsu no Hihou o Oe! (Japan),鲁邦三世
MACS Basic Rifle Marksmanship (USA) (v1.1e) [b],MAC基本步枪射击模拟
Madden NFL '94 (Europe),约翰麦顿橄榄球'94
Madden NFL '94 (USA),约翰麦顿橄榄球'94
Madden NFL 95 (Europe),约翰麦顿橄榄球'95
Madden NFL 95 (USA),约翰麦顿橄榄球'95
Madden NFL 96 (USA),约翰麦顿橄榄球'96
Madden NFL 97 (USA),约翰麦顿橄榄球'97
Madden NFL 98 (USA),约翰麦顿橄榄球'98
Madou Monogatari - Hanamaru Daiyouchienji (Japan),魔导物语-大幼稚园儿
Maerchen Adventure Cotton 100% (Japan),棉花小魔女100%
Magic Boy (Europe),魔法男孩
Magic Boy (USA),魔法男孩
Magic Johnson no Super Slam Dunk (Japan) (En),魔术强森的超级灌篮
Magic Knight Rayearth (Japan),魔法骑士-雷阿斯
Magic Sword (Europe),魔剑
Magic Sword (Japan),魔剑
Magic Sword (USA),魔剑
Magical Drop (Japan),魔法堆球
Magical Drop 2 (Japan),魔法堆球2
Magical Pop'n (Japan),魔法大进击
"Magical Quest Starring Mickey Mouse, The (Italy)",米老鼠大冒险
"Magical Quest Starring Mickey Mouse, The (Europe)",米老鼠大冒险
"Magical Quest Starring Mickey Mouse, The (Europe) (Rev 1)",米老鼠大冒险
"Magical Quest Starring Mickey Mouse, The (Germany)",米老鼠大冒险
"Magical Quest Starring Mickey Mouse, The (Germany) (Rev 1)",米老鼠大冒险
"Magical Quest Starring Mickey Mouse, The (USA)",米老鼠大冒险
Magical Taruruuto-kun - Magic Adventure (Japan),魔法台风-魔法冒险
Magna Braban - Henreki no Yuusha (Japan),魔法与剑
Mahjong Club (Japan),麻雀俱乐部
Mahjong Gokuu Tenjiku (Japan),麻雀悟空-天竺
Mahjong Hanjouki (Japan),麻雀繁盛记
Mahjong Hishouden - Shin Naki no Ryuu (Japan),真哭泣之龙
Mahjong Sengoku Monogatari (Japan),麻雀战国物语
Mahjong Taikai II (Japan),麻雀大会2
"Mahjong Touhaiden, The (Japan)",麻雀斗牌传
Mahou Poi Poi Poitto! (Japan),魔法转转叠
Mahoujin Guruguru (Japan),魔法阵咕噜咕噜
Mahoujin Guruguru 2 (Japan),魔法阵咕噜咕噜2
Majin Tensei (Japan),魔神转生1
Majin Tensei (Japan) (Rev 1),魔神转生1
Majin Tensei (Japan) (Rev 2),魔神转生1
Majin Tensei II - Spiral Nemesis (Japan),魔神转生2
Major Title (Europe),专业高尔夫
Major Title (Japan),专业高尔夫
Majuu Ou (Japan),魔兽王
Maka Maka (Japan),魔诃魔诃
Makeruna! Makendou (Japan),魔剑道
Makeruna! Makendou 2 - Kimero! Youkai Souridaijin (Japan),魔剑道2
Manchester United Championship Soccer (Europe),曼彻斯特冠军足球赛
Mario Is Missing! (Europe),马里奥失踪记
Mario Is Missing! (France),马里奥失踪记
Mario Is Missing! (Germany),马里奥失踪记
Mario Is Missing! (USA),马里奥失踪记
Mario no Super Picross (Japan),马里奥超级敲方块
Mario Paint (Europe),马里奥绘图
"Mario Paint (Japan, USA) (En)",马里奥绘图
Mario to Wario (Japan) (En),马里奥与瓦力欧
Mario's Early Years - Fun with Letters (USA),马里奥学前教育-字母篇
Mario's Early Years - Fun with Numbers (USA),马里奥学前教育-数字篇
Mario's Early Years - Preschool Fun (USA),马里奥学前教育-幼稚园
Mario's Time Machine (Europe),马里奥的时光机器
Mario's Time Machine (Germany),马里奥的时光机器
Mario's Time Machine (USA),马里奥的时光机器
Mark Davis' The Fishing Master (USA),麦克大卫钓鱼大师
"Marko's Magic Football (Europe) (En,Fr,De,Es)",马可的魔法足球
Marmalade Boy (Japan),甜蜜男孩
Marvel Super Heroes - War of the Gems (Japan),美国超人-秘宝之战
Marvel Super Heroes in War of the Gems (Europe),漫威超级英雄宝石之战
Marvel Super Heroes in War of the Gems (USA),漫威超级英雄宝石之战
Marvelous - Mouhitotsu no Takara-jima (Japan),奇异-猴子们的宝岛
Mary Shelley's Frankenstein (USA),玛丽·雪莱的科学怪人
Mask (Japan),变相怪杰
"Mask, The (Europe)",变相怪杰
"Mask, The (USA)",变相怪杰
Masters - Harukanaru Augusta 2 (Japan),高尔夫大师
Masters New - Harukanaru Augusta 3 (Japan),大师新篇-遥远的奥古斯塔3
Masters New - Harukanaru Augusta 3 (Japan) (Rev 1),大师新篇-遥远的奥古斯塔3
Maten Densetsu - Senritsu no Ooparts (Japan),魔天传说
Math Blaster - Episode 1 (USA),数字射击
Matsukata Hiroki no Super Trolling (Japan),松方弘树的超级钓鱼
Matsumura Kunihiro Den - Saikyou no Rekishi o Nurikaero! (Japan),松村邦洋传
Maui Mallard in Cold Shadow (USA),唐老鸭-年夜冒险
Mazinger Z (Japan),无敌铁金刚Z
Mecarobot Golf (USA),机器人高尔夫
MechWarrior (Europe),机甲战记
MechWarrior (France),机甲战记
MechWarrior (Germany),机甲战记
MechWarrior (Spain),机甲战记
MechWarrior (USA),机甲战记
MechWarrior 3050 (Europe),机甲争霸3050
MechWarrior 3050 (USA),机甲争霸3050
Mega lo Mania - Jikuu Daisenryaku (Japan),诸神领地战
Mega Man 7 (Europe),洛克人7
Mega Man 7 (USA),洛克人7
Mega Man Soccer (USA),洛克人足球
Mega Man X (Europe),洛克人X
Mega Man X (USA),洛克人X
Mega Man X (USA) (Rev 1),洛克人X
Mega Man X2 (Europe),洛克人X2
Mega Man X2 (USA),洛克人X2
Mega Man X3 (Europe),洛克人X3
Mega Man X3 (USA),洛克人X3
"Mega-lo-Mania (Europe) (En,Fr,De)",诸神领地战
Melfand Stories (Japan),美法兰传说
Metal Combat - Falcon's Revenge (Europe),金属战斗-猎鹰的复仇
Metal Combat - Falcon's Revenge (USA),金属战斗-猎鹰的复仇
Metal Marines (Europe),金属战队
Metal Marines (USA),金属战队
Metal Max 2 (Japan),重装机兵2
Metal Max Returns (Japan),重装机兵-回归
Metal Morph (USA),液态金属战士
Metal Slader Glory - Director's Cut (Japan) (NP),金属之光
Metal Warriors (USA),金属机器人战记
Michael Andretti's Indy Car Challenge (Japan),麦可印地安赛车
Michael Andretti's Indy Car Challenge (USA),麦可印地安赛车
Michael Jordan - Chaos in the Windy City (Europe),麦可乔登历险记
Michael Jordan - Chaos in the Windy City (USA),麦可乔登历险记
Mickey Mania (Europe),米老鼠迷
Mickey Mania - The Timeless Adventures of Mickey Mouse (Japan),疯狂米老鼠-时光冒险
Mickey Mania - The Timeless Adventures of Mickey Mouse (USA),疯狂米老鼠-时光冒险
Mickey no Magical Adventure (Japan),米老鼠-魔法传说
Mickey no Magical Adventure (Japan) (Rev 1),米老鼠-魔法传说
Mickey no Tokyo Disneyland Daibouken (Japan),米老鼠东京迪士尼大冒险
Mickey to Donald - Magical Adventure 3 (Japan),米老鼠和唐老鸭-魔法冒险3
Mickey to Minnie - Magical Adventure 2 (Japan),米奇和米妮-魔法冒险2
Mickey's Ultimate Challenge (USA),米老鼠的终极挑战
Micro Machines (Europe),微形机器
Micro Machines (USA),微形机器
Micro Machines 2 - Turbo Tournament (Europe),微形机器2
Might and Magic - Book II (Japan),魔法门2
Might and Magic II (Europe),魔法门2
Might and Magic II (Germany),魔法门2
Might and Magic III - Isles of Terra (USA),魔法门3
Mighty Max (USA),万能麦斯
Mighty Morphin Power Rangers (Japan) (En),恐龙战队
Mighty Morphin Power Rangers (USA),恐龙战队
Mighty Morphin Power Rangers - The Fighting Edition (Europe),恐龙战队-金刚对决
Mighty Morphin Power Rangers - The Fighting Edition (USA),恐龙战队-金刚对决
Mighty Morphin Power Rangers - The Movie (Europe),恐龙战队-电影版
Mighty Morphin Power Rangers - The Movie (USA),恐龙战队-电影版
Milandra (Japan),米兰达拉传说
Militia (Japan),金属战队
Mini Yonku Let's & Go!! - Power WGP 2 (Japan),爆走兄弟2
Mini Yonku Shining Scorpion - Let's & Go!! (Japan),四区车向前走
Miracle Casino Paradise (Japan),神奇赌博天堂
Miracle Girls (Japan),神奇女孩
"Miracle Piano Teaching System, The (USA)",奇迹钢琴教学系统
Miyaji Shachou no Pachinko Fan - Shouri Sengen 2 (Japan),宫地社长的柏青哥迷-胜利宣言2
Mizuki Shigeru no Youkai Hyakkiyakou (Japan),妖怪百鬼夜行
MLBPA Baseball (USA),美商艺电棒球
Mohawk & Headphone Jack (Europe),刺蝟超人魔哈克
Mohawk & Headphone Jack (USA),刺蝟超人魔哈克
Momotarou Dentetsu Happy (Japan),桃太郎电铁欢乐
Monopoly (Japan),大富翁
Monopoly (USA),大富翁
Monopoly (USA) (Rev 1),大富翁
"Monopoly Game 2, The (Japan)",大富翁2
Monstania (Japan),怪物圣地
Monster Maker III - Hikari no Majutsushi (Japan),怪兽制造厂3
Monster Maker Kids - Ousama ni Naritai (Japan),怪兽制造厂-儿童版
Mortal Kombat (Europe),真人快打
Mortal Kombat (Europe) (Rev 1),真人快打
Mortal Kombat (USA),真人快打
Mortal Kombat - Shinken Kourin Densetsu (Japan) (En),真人快打-神拳降临传说
Mortal Kombat 3 (Europe),真人快打3
Mortal Kombat 3 (USA),真人快打3
Mortal Kombat II (Europe),真人快打2
Mortal Kombat II (Europe) (Rev 1),真人快打2
Mortal Kombat II (USA),真人快打2
Mortal Kombat II (USA) (Rev 1),真人快打2
Mortal Kombat II - Kyuukyoku Shinken (Japan) (En),真人快打2-终极神拳
Mother 2 - Gyiyg no Gyakushuu (Japan),地球冒险2
Motoko-chan no Wonder Kitchen (Japan),城子的厨房
Motteke Oh! Dorobou (Japan),快乐人生
Mouryou Senki Madara 2 (Japan),魍魉战记2
Mr. Do! (Europe),度!先生
Mr. Do! (Japan),度!先生
Mr. Do! (USA),度!先生
"Mr. Nutz (Europe) (En,Fr)",松鼠大冒险
Mr. Nutz (Japan) (En),松鼠大冒险
"Mr. Nutz (USA) (En,Fr)",松鼠大冒险
Ms. Pac-Man (Europe),小精灵小姐
Ms. Pac-Man (USA),小精灵小姐
Mujintou Monogatari (Japan),无人岛物语
Multi Play Volleyball (Japan),多人排球
Muscle Bomber - The Body Explosion (Japan),霸王摔角
Musya - The Classic Japanese Tale of Horror (USA),豪枪神雷传说
Mystery Circle (Japan),神秘绕圈方块
Mystic Ark (Japan),惑星引导者2
Mystic Quest Legend (Europe),最终幻想外传
Mystic Quest Legend (France),最终幻想外传
Mystic Quest Legend (Germany),最终幻想外传
Nage Libre - Seijaku no Suishin (Japan),女子学园社团战记
Nakajima Satoru Kanshuu - F-1 Hero '94 (Japan),F1英雄'94
Nakajima Satoru Kanshuu - Super F-1 Hero (Japan),中岛悟-F1英雄
Nakano Kouichi Kanshuu Keirin Ou (Japan),竞轮王
Naki no Ryuu - Mahjong Hishouden (Japan),麻将飞翔传-哭泣之龙
Namcot Open (Japan),拿姆科高尔夫开打
Nangoku Shounen Papuwa-kun (Japan),南国少年-奇小邪
Naruhodo! The World (Japan),原来如此!世界问答比赛
Natsuki Crisis Battle (Japan),空手女神龙
Natsume Championship Wrestling (USA),全日本摔角
Naxat Super Pinball - Jaki Crush (Japan),纳克斯特超级弹珠台-杰克粉碎
NBA All-Star Challenge (Europe),NBA全美明星挑战赛
NBA All-Star Challenge (Japan) (En),NBA全美明星挑战赛
NBA All-Star Challenge (USA),NBA全美明星挑战赛
NBA Give 'n Go (Europe),实战NBA篮球
NBA Give 'n Go (USA),实战NBA篮球
NBA Hang Time (Europe),NBA篮球-中场时刻
NBA Hang Time (USA),NBA篮球-中场时刻
NBA Jam (Europe),劲爆NBA篮球
NBA Jam (Europe) (Rev 1),劲爆NBA篮球
NBA Jam (Japan) (En),劲爆NBA篮球
NBA Jam (USA),劲爆NBA篮球
NBA Jam (USA) (Rev 1),劲爆NBA篮球
NBA Jam - Tournament Edition (Europe),劲爆NBA篮球-竞技
NBA Jam - Tournament Edition (Japan) (En),劲爆NBA篮球-竞技
NBA Jam - Tournament Edition (USA),劲爆NBA篮球-竞技
NBA Jikkyou Basket - Winning Dunk (Japan),NBA实况篮球赛
NBA Live 95 (Europe),NBA现场直播赛'95
NBA Live 95 (Japan),NBA现场直播赛'95
